name,rarity,type,set,quantity,value
Lillie's Comfey,Common,Normal,Journey Together,1,0.05
Sentret,Common,Normal,Journey Together,1,0.05
Cufant,Common,Normal,Journey Together,1,0.04
Lombre,Common,Normal,Journey Together,1,0.08
Hop's Sandaconda,Uncommon,Normal,Journey Together,1,0.04
Copperajah,Uncommon,Normal,Journey Together,1,0.04
N's Castle,Uncommon,Normal,Journey Together,1,0.1
Shuppet,Common,Reverse,Journey Together,1,0.13
Lycanroc,Rare,Reverse,Journey Together,1,-1
Blaziken Ex,Double Rare,Holofoil,Journey Together,1,1.57
Water Energy,Energy,Normal,Journey Together,1,0.1
Sprigatito,Common,Normal,Journey Together,1,0.07
Drampa,Common,Normal,Journey Together,1,0.04
Durant,Common,Normal,Journey Together,1,0.08
Morgrem,Common,Normal,Journey Together,1,0.05
N's Darmanitan,Uncommon,Normal,Journey Together,1,0.07
Redeemable Ticket,Uncommon,Normal,Journey Together,1,0.16
Combusken,Uncommon,Normal,Journey Together,1,0.05
Lillie's Pearl,Uncommon,Reverse,Journey Together,1,0.12
Skwovet,Common,Reverse,Journey Together,1,0.14
Magearna,Rare,Holofoil,Journey Together,1,0.11
Dark Energy,Common,Normal,Journey Together,1,0
